MRUN,GENERO,EDAD,TRAMO_EDAD,COMUNA,REGION,REGION_ORD,TIPO_COLEGIO,GRADO,ZONA,SUBSECTOR,SECTOR
20826797,Mujer,34,30-39,PUENTE ALTO,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20826866,Mujer,70,60+,PANGUIPULLI,Los Ríos,Los Ríos,Particular Subvencionado,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20827134,Mujer,60,60+,SAN FERNANDO,O'Higgins,O'Higgins,Servicio Local de Educación,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20827163,Hombre,55,50-59,COCHAMÓ,Los Lagos,Los Lagos,Municipal,Media H-C (Jóvenes),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20828494,Mujer,25,< 30,EL TABO,Valparaíso,Valparaíso,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20829381,Mujer,36,30-39,CURICÓ,Maule,Maule,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20830770,Hombre,33,30-39,VILCÚN,Araucanía,Araucanía,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20830906,Mujer,39,30-39,COPIAPÓ,Atacama,Atacama,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20831041,Mujer,52,50-59,CHILLÁN,Ñuble,Ñuble,Municipal,Educación Especial,Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20831532,Mujer,48,40-49,VILLA ALEMANA,Valparaíso,Valparaíso,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20832114,Mujer,34,30-39,LA REINA,Metropolitana,Metropolitana,Particular Pagado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20832477,Mujer,28,< 30,MAIPÚ,Metropolitana,Metropolitana,Particular Pagado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20833453,Hombre,35,30-39,LAS CONDES,Metropolitana,Metropolitana,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20834259,Hombre,51,50-59,MULCHÉN,Biobío,Biobío,Municipal,Media H-C (Jóvenes),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20834649,Mujer,39,30-39,SAGRADA FAMILIA,Maule,Maule,Municipal,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20835215,Mujer,38,30-39,SAN BERNARDO,Metropolitana,Metropolitana,Particular Subvencionado,Educación Especial,Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20835528,Hombre,28,< 30,SAN CARLOS,Ñuble,Ñuble,Particular Subvencionado,Media H-C (Jóvenes),Urbana,ECONOMÍA Y SOCIEDAD,Formación General
20836997,Mujer,69,60+,CORONEL,Biobío,Biobío,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20837889,Mujer,49,40-49,ARICA,Arica y Parinacota,Arica y Parinacota,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20838678,Mujer,39,30-39,ISLA DE MAIPO,Metropolitana,Metropolitana,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20839235,Mujer,38,30-39,TALCA,Maule,Maule,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20839761,Hombre,41,40-49,CASABLANCA,Valparaíso,Valparaíso,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20839963,Mujer,35,30-39,LANCO,Los Ríos,Los Ríos,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20840170,Mujer,32,30-39,VICUÑA,Coquimbo,Coquimbo,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20840302,Mujer,36,30-39,VALPARAÍSO,Valparaíso,Valparaíso,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20841256,Mujer,28,< 30,QUELLÓN,Los Lagos,Los Lagos,Particular Subvencionado,Media H-C (Jóvenes),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20841685,Mujer,35,30-39,PANGUIPULLI,Los Ríos,Los Ríos,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20842088,Mujer,39,30-39,LA ESTRELLA,O'Higgins,O'Higgins,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20842969,Mujer,46,40-49,OVALLE,Coquimbo,Coquimbo,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20843360,Mujer,41,40-49,SAN CLEMENTE,Maule,Maule,Municipal,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20843612,Hombre,41,40-49,QUILLOTA,Valparaíso,Valparaíso,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20843729,Mujer,29,< 30,MACHALÍ,O'Higgins,O'Higgins,Particular Subvencionado,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20844195,Mujer,40,40-49,LAMPA,Metropolitana,Metropolitana,Municipal,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20845032,Mujer,27,< 30,HUALAIHUÉ,Los Lagos,Los Lagos,Municipal,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20846120,Mujer,35,30-39,CORONEL,Biobío,Biobío,Servicio Local de Educación,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20847404,Mujer,38,30-39,COQUIMBO,Coquimbo,Coquimbo,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20847485,Mujer,38,30-39,VILLA ALEMANA,Valparaíso,Valparaíso,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20847941,Mujer,41,40-49,BUIN,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20848121,Mujer,28,< 30,PUENTE ALTO,Metropolitana,Metropolitana,Particular Subvencionado,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20849165,Mujer,33,30-39,VALDIVIA,Los Ríos,Los Ríos,Particular Subvencionado,Básica (Niños),Urbana,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20849582,Mujer,70,60+,LA UNIÓN,Los Ríos,Los Ríos,Particular Subvencionado,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
20850410,Mujer,50,50-59,YUMBEL,Biobío,Biobío,Municipal,Básica (Niños),Rural,"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",Formación General
