NOM_COM_RBD,COD_DEPE2,COD_ENSE2,NOM_PLAN_EST,NOM_SUBSECTOR,TIPO_SUBSECTOR,TOTAL_DOCENTES
ALHUÉ,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",2,5
ALHUÉ,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),IDIOMA EXTRANJERO: INGLÉS,2,4
ALHUÉ,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),LENGUA Y LITERATURA,2,6
ALHUÉ,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),MATEMÁTICA,2,6
ALHUÉ,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),MÚSICA,2,4
ALHUÉ,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),ORIENTACIÓN,2,10
ALHUÉ,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),RELIGIÓN,2,4
ALHUÉ,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),TECNOLOGÍA,2,5
ALHUÉ,1,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),ARTES VISUALES,2,1
ALHUÉ,1,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),CIENCIAS NATURALES,2,2
ALHUÉ,1,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),EDUCACIÓN FÍSICA Y SALUD,2,2
ALHUÉ,1,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",2,2
ALHUÉ,1,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),IDIOMA EXTRANJERO: INGLÉS,2,2
ALHUÉ,1,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),LENGUA Y LITERATURA,2,3
ALHUÉ,1,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),MATEMÁTICA,2,2
ALHUÉ,1,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),MÚSICA,2,1
ALHUÉ,1,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),ORIENTACIÓN,2,5
ALHUÉ,1,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),RELIGIÓN,2,1
ALHUÉ,1,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),TECNOLOGÍA,2,1
ALHUÉ,1,5,3° Y 4° MEDIO HC Y TP (2019),ARTES,2,1
ALHUÉ,1,5,3° Y 4° MEDIO HC Y TP (2019),"ARTES VISUALES, AUDIOVISUALES Y MULTIMEDIALES",3,1
ALHUÉ,1,5,3° Y 4° MEDIO HC Y TP (2019),BIOLOGÍA CELULAR Y MOLECULAR,3,2
ALHUÉ,1,5,3° Y 4° MEDIO HC Y TP (2019),CIENCIAS DE LA SALUD,3,2
ALHUÉ,1,5,3° Y 4° MEDIO HC Y TP (2019),CIENCIAS DEL EJERCICIO FÍSICO Y DEPORTIVO,3,1
ALHUÉ,1,5,3° Y 4° MEDIO HC Y TP (2019),CIENCIAS PARA LA CIUDADANÍA,2,2
